Timestamp,pH,CO2,Hujan
1555321019,5.47,232,normal
1555321021,5.76,232,normal
1555321023,5.75,232,normal
1555321025,5.75,232,normal
1555321027,5.74,232,normal
1555321029,5.36,234,normal
1555321031,5.75,234,normal
1555321033,5.77,234,normal
1555321035,5.75,232,normal
1555321037,5.74,232,normal
1555321039,5.42,236,normal
1555321041,5.75,236,normal
1555321043,5.76,236,normal
1555321045,5.71,234,normal
1555321047,5.7,234,normal
1555321049,5.44,242,normal
1555321051,5.74,242,normal
1555321053,5.71,242,normal
1555321055,5.74,218,normal
1555321057,5.75,218,normal
1555321059,5.45,204,normal
1555321061,5.75,204,normal
1555321063,5.74,204,normal
1555321065,5.73,240,normal
1555321067,5.74,240,normal
1555321069,5.61,232,normal
1555321071,5.74,232,normal
1555321073,5.74,232,normal
1555321075,5.78,256,normal
1555321077,5.73,256,normal
1555321079,5.73,276,normal
1555321081,5.77,276,normal
1555321083,5.75,276,normal
1555321085,5.73,214,normal
1555321087,5.73,214,normal
1555321089,5.7,204,normal
1555321091,5.73,204,normal
1555321093,5.73,204,normal
1555321095,5.73,222,normal
1555321097,5.7,222,normal
1555321099,5.72,164,normal
1555321101,5.73,164,normal
1555321103,5.69,164,normal
1555321105,5.71,158,normal
1555321107,5.72,158,normal
1555321109,5.68,158,normal
1555321111,5.72,158,normal
1555321113,5.71,158,normal
1555321115,5.7,158,normal
1555321117,5.71,158,normal
1555321119,5.71,156,normal
1555321121,5.7,156,normal
1555321123,5.68,156,normal
1555321125,5.72,158,normal
1555321127,5.66,158,normal
1555321129,5.71,158,normal
1555321131,5.71,158,normal
1555321133,5.68,158,normal
1555321135,5.69,158,normal
1555321137,5.68,158,normal
1555321139,5.71,166,normal
1555321141,5.71,166,normal
1555321143,5.7,166,normal
1555321145,5.69,158,normal
1555321147,5.73,158,normal
1555321149,5.71,156,normal
1555321151,5.71,156,normal
1555321154,5.7,156,normal
1555321156,5.71,158,normal
1555321158,5.68,158,normal
1555321160,5.69,200,normal
1555321162,5.66,200,normal
1555321164,5.73,200,normal
1555321166,5.7,204,normal
1555321168,5.71,204,normal
1555321170,5.7,204,normal
1555321172,5.69,204,normal
1555321174,5.69,204,normal
1555321176,5.66,218,normal
1555321178,5.69,218,normal
1555321180,5.69,222,normal
1555321182,5.7,222,normal
1555321184,5.38,222,normal
1555321186,5.61,200,normal
1555321188,5.69,200,normal
1555321190,5.68,186,normal
1555321192,5.68,186,normal
1555321194,5.34,186,normal
1555321196,5.68,196,normal
1555321198,5.69,196,normal
1555321200,5.65,200,normal
1555321202,5.68,200,normal
1555321204,5.12,200,normal
1555321206,5.67,168,normal
1555321208,5.68,168,normal
1555321210,5.7,166,normal
1555321212,5.67,166,normal
1555321214,5.24,166,normal
1555321216,5.67,186,normal
1555321218,5.69,186,normal
1555321220,5.67,186,normal
1555321222,5.67,186,normal
1555321224,5.27,186,normal
1555321226,5.68,186,normal
1555321228,5.68,186,normal
1555321230,5.68,184,normal
1555321232,5.65,184,normal
1555321234,5.31,186,normal
1555321236,5.67,186,normal
1555321238,5.68,186,normal
1555321240,5.7,190,normal
1555321242,5.63,190,normal
1555321244,5.28,194,normal
1555321246,5.67,194,normal
1555321248,5.71,194,normal
1555321250,5.7,192,normal
1555321252,5.67,192,normal
1555321254,5.38,178,normal
1555321256,5.67,178,normal
1555321258,5.67,178,normal
1555321260,5.67,186,normal
1555321262,5.66,186,normal
1555321264,5.38,194,normal
1555321266,5.66,194,normal
1555321268,5.65,194,normal
1555321270,5.66,196,normal
1555321272,5.7,196,normal
1555321274,5.37,214,normal
1555321276,5.62,214,normal
1555321278,5.66,214,normal
1555321280,5.65,182,normal
1555321282,5.67,182,normal
1555321284,5.33,184,normal
1555321286,5.63,184,normal
1555321288,5.65,184,normal
1555321290,5.67,158,normal
1555321292,5.63,158,normal
1555321294,5.43,162,normal
1555321296,5.63,162,normal
1555321298,5.62,162,normal
1555321300,5.63,158,normal
1555321302,5.62,158,normal
1555321304,5.36,158,normal
1555321306,5.64,158,normal
1555321308,5.65,158,normal
1555321310,5.63,186,normal
1555321312,5.61,186,normal
1555321314,5.49,200,normal
1555321316,5.65,200,normal
1555321318,5.65,200,normal
1555321320,5.64,166,normal
1555321322,5.65,166,normal
1555321324,5.59,158,normal
1555321326,5.63,158,normal
1555321328,5.62,158,normal
1555321330,5.57,158,normal
1555321332,5.62,158,normal
1555321334,5.63,160,normal
1555321336,5.63,160,normal
1555321338,5.61,160,normal
1555321340,5.63,158,normal
1555321342,5.63,158,normal
1555321344,5.63,164,normal
1555321346,5.6,164,normal
1555321348,5.61,164,normal
1555321350,5.62,158,normal
1555321352,5.61,158,normal
1555321354,5.64,156,normal
1555321356,5.61,156,normal
1555321358,5.61,156,normal
1555321360,5.62,156,normal
1555321362,5.61,156,normal
1555321364,5.63,154,normal
1555321366,5.61,154,normal
1555321368,5.61,154,normal
1555321370,5.62,160,normal
1555321372,5.62,160,normal
1555321374,5.7,162,normal
1555321376,5.61,162,normal
1555321378,5.61,162,normal
1555321380,5.61,184,normal
1555321382,5.62,184,normal
1555321384,5.57,184,normal
1555321386,5.62,184,normal
1555321388,5.58,184,normal
1555321390,5.61,200,normal
1555321392,5.61,200,normal
1555321394,5.61,184,normal
1555321396,5.6,184,normal
1555321398,5.59,184,normal
1555321400,5.63,190,normal
1555321403,5.61,190,normal
1555321405,5.62,210,normal
1555321407,5.59,210,normal
1555321409,5.61,210,normal
1555321411,5.57,200,normal
1555321413,5.61,200,normal
1555321415,5.6,228,normal
1555321417,5.61,228,normal
1555321419,5.61,228,normal
1555321421,5.59,282,normal
1555321423,5.63,282,normal
1555321425,5.57,294,normal
1555321427,5.6,292,normal
1555321429,5.27,292,normal
1555321431,5.59,304,normal
1555321433,5.58,304,normal
1555321435,5.6,314,normal
1555321437,5.58,314,normal
1555321439,5.03,314,normal
1555321441,5.57,318,normal
1555321443,5.6,318,normal
1555321445,5.63,342,normal
1555321447,5.58,342,normal
1555321449,5.14,342,normal
1555321451,5.59,316,normal
1555321453,5.58,316,normal
1555321455,5.57,328,normal
1555321457,5.54,328,normal
1555321459,5.24,328,normal
1555321461,5.58,350,normal
1555321463,5.59,350,normal
1555321465,5.63,396,normal
1555321467,5.61,396,normal
1555321469,5.27,396,asam
1555321471,5.59,362,asam
1555321473,5.58,362,asam
1555321475,5.59,372,asam
1555321477,5.57,372,asam
1555321479,5.27,356,asam
1555321481,5.55,356,asam
1555321483,5.58,356,asam
1555321485,5.58,372,asam
1555321487,5.58,372,asam
1555321489,5.29,348,normal
1555321491,5.58,348,normal
1555321493,5.58,348,normal
1555321495,5.58,338,normal
1555321497,5.52,338,normal
1555321499,5.3,304,normal
1555321501,5.56,304,normal
1555321503,5.58,304,normal
1555321505,5.57,324,normal
1555321507,5.56,324,normal
1555321509,5.27,328,normal
1555321511,5.57,328,normal
1555321513,5.56,328,normal
1555321515,5.58,322,normal
1555321517,5.51,322,normal
1555321519,5.29,320,normal
1555321521,5.58,320,normal
1555321523,5.56,320,normal
1555321525,5.53,322,normal
1555321527,5.57,322,normal
1555321529,5.24,326,normal
1555321531,5.56,326,normal
1555321533,5.57,326,normal
1555321535,5.56,320,normal
1555321537,5.54,320,normal
1555321539,5.26,308,normal
1555321541,5.56,308,normal
1555321543,5.54,308,normal
1555321545,5.56,326,normal
1555321547,5.57,326,normal
1555321549,5.38,312,normal
1555321551,5.54,312,normal
1555321553,5.56,312,normal
1555321555,5.54,306,normal
1555321557,5.55,306,normal
1555321559,5.5,300,normal
1555321561,5.55,300,normal
1555321563,5.55,300,normal
1555321565,5.56,288,normal
1555321567,5.54,288,normal
1555321569,5.55,298,normal
1555321571,5.55,298,normal
1555321573,5.56,298,normal
1555321575,5.52,296,normal
1555321577,5.55,296,normal
1555321579,5.55,282,normal
1555321581,5.56,282,normal
1555321583,5.55,282,normal
1555321585,5.5,276,normal
1555321587,5.54,276,normal
1555321589,5.54,262,normal
1555321591,5.56,262,normal
1555321593,5.55,262,normal
1555321595,5.54,238,normal
1555321597,5.54,238,normal
1555321599,5.54,234,normal
1555321601,5.58,234,normal
1555321603,5.53,234,normal
1555321605,5.54,220,normal
1555321607,5.55,220,normal
1555321609,5.55,184,normal
1555321611,5.53,184,normal
1555321613,5.6,184,normal
1555321615,5.54,186,normal
1555321617,5.56,186,normal
1555321619,5.51,188,normal
1555321621,5.55,188,normal
1555321623,5.56,188,normal
1555321625,5.53,176,normal
1555321627,5.52,176,normal
1555321629,5.49,172,normal
1555321631,5.56,172,normal
1555321633,5.52,172,normal
